pergunta,opcao1,opcao2,opcao3,opcao4,resposta
Qual o maior planeta do sistema solar?,Marte,Jupiter,Venus,Terra,b
Qual o rio mais extenso do mundo?,Amazonas,Nilus,Yangtze,Amarelo,a
Quem pintou "A Noite Estrelada"?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Michelangelo,c
Qual o maior animal terrestre?,Elefante,Baleia azul,Tubarao,Serpente,b
Qual e o simbolo quimico do ouro?,O,Ag,Au,C,c
Quem escreveu "Dom Quixote"?,Miguel de Cervantes,William Shakespeare,John Milton,Charles Dickens,a
Qual e a capital da Australia?,Melbourne,Sydney,Brisbane,Canberra,d
Quem descobriu a penicilina?,Alexander Fleming,Marie Curie,Isaac Newton,Louis Pasteur,a
Quem pintou "Mona Lisa"?,Pablo Picasso,Vincent van Gogh,Leonardo da Vinci,Michelangelo,c
Qual e o metal mais abundante na crosta terrestre?,Ferro,Aluminio,Ouro,C,c
Quem foi o primeiro presidente do Brasil?,Getulio Vargas,Juscelino Kubitschek,Marechal Deodoro da Fonseca,Pedro II,c
Quem escreveu "Os Lusiadas"?,Luis de Camoes,Fernao Mendes Pinto,Gil Vicente,Padre Antonio Vieira,a
Qual o maior oceano do mundo?,Atlantico,Pacifico,Indico,Artico,b
Qual o ano da Proclamacao da Republica no Brasil?,1888,1822,1889,1808,c
Quem foi o primeiro homem a pisar na Lua?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,a
Quem e o autor de "O Guarani"?,Jose de Alencar,Machado de Assis,Carlos Drummond de Andrade,Manuel Bandeira,a
Qual e a montanha mais alta do mundo?,Monte Everest,Monte Kilimanjaro,K2,Monte Aconcagua,a
Quem pintou "Guernica"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,b
Qual e o pais mais populoso do mundo?,India,Estados Unidos,China,Russia,c
Quem foi o inventor do telefone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Albert Einstein,a
